LebwohlLasher_Numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.284, Time: 8.342402 s
         2724556 function calls (2702160 primitive calls) in 15.661 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
  542/102    0.001    0.000    0.983    0.010 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      322    0.001    0.000    0.085    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
     3301    0.001    0.000    0.002    0.000 inspect.py:2821(<genexpr>)
       24    0.001    0.000    0.002    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      974    0.001    0.000    0.025    0.000 __init__.py:699(__setitem__)
       89    0.001    0.000    0.001    0.000 transforms.py:379(bounds)
      208    0.001    0.000    0.049    0.000 sre_compile.py:759(compile)
      431    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
        4    0.001    0.000    0.001    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       62    0.001    0.000    0.028    0.000 text.py:738(draw)
  849/723    0.001    0.000    0.002    0.000 transforms.py:167(_invalidate_internal)
      204    0.001    0.000    0.002    0.000 __init__.py:1324(is_math_text)
      101    0.001    0.000    0.002    0.000 __init__.py:1494(nametowidget)
     1541    0.001    0.000    0.002    0.000 function_base.py:346(iterable)
 3344/795    0.001    0.000    0.002    0.000 __init__.py:362(recursive_subclasses)
     8632    0.001    0.000    0.001    0.000 inspect.py:2539(name)
     1009    0.001    0.000    0.019    0.000 <__array_function__ internals>:177(sum)
     1193    0.001    0.000    0.002    0.000 {built-in method builtins.max}
      100    0.001    0.000    0.349    0.003 artist.py:159(_update_set_signature_and_docstring)
  757/733    0.001    0.000    0.005    0.000 contextlib.py:117(__exit__)
      104    0.001    0.000    0.005    0.000 deprecation.py:128(deprecate)
       92    0.001    0.000    0.016    0.000 __init__.py:1372(_preprocess_data)
        2    0.001    0.001    6.100    3.050 LebwohlLasher_Numpy.py:22(plotdat)
      314    0.001    0.000    0.010    0.000 overrides.py:170(decorator)
      113    0.001    0.000    0.002    0.000 pathlib.py:64(parse_parts)
     1708    0.001    0.000    0.001    0.000 fromnumeric.py:70(<dictcomp>)
       62    0.001    0.000    0.039    0.001 backend_bases.py:1430(__init__)
     1403    0.001    0.000    0.001    0.000 {built-in method numpy.asanyarray}
        1    0.001    0.001    0.004    0.004 LebwohlLasher_Numpy.py:62(savedat)
      244    0.001    0.000    0.001    0.000 core.py:461(__init__)
      397    0.001    0.000    0.002    0.000 __init__.py:65(check_isinstance)
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
      568    0.001    0.000    0.001    0.000 <string>:1(__new__)
      221    0.001    0.000    0.005    0.000 fromnumeric.py:38(_wrapit)
       52    0.001    0.000    0.002    0.000 core.py:894(__init__)
      352    0.001    0.000    0.001    0.000 {built-in method matplotlib._path.affine_transform}
      472    0.001    0.000    0.006    0.000 transforms.py:2511(composite_transform_factory)
     6951    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     1548    0.001    0.000    0.094    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      175    0.001    0.000    0.002    0.000 transforms.py:1986(rotate)
2131/2035    0.001    0.000    0.011    0.000 {built-in method builtins.next}
      770    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
   107/79    0.001    0.000    0.970    0.012 __init__.py:1887(__call__)
      314    0.001    0.000    0.002    0.000 font_manager.py:809(set_size)
      395    0.001    0.000    0.010    0.000 transforms.py:1835(frozen)
        1    0.001    0.001    0.002    0.002 helpers.py:647(<dictcomp>)
   457/25    0.001    0.000    1.047    0.042 {built-in method builtins.__import__}
      723    0.001    0.000    0.003    0.000 transforms.py:157(invalidate)
      132    0.001    0.000    0.039    0.000 _docstring.py:38(__call__)
      208    0.001    0.000    0.004    0.000 sre_compile.py:536(_compile_info)
      170    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
      414    0.001    0.000    0.004    0.000 lines.py:1268(set_xdata)
     2229    0.001    0.000    0.019    0.000 abc.py:96(__instancecheck__)
