LebwohlLasher: Size: 100, Steps: 100, T*: 0.500: Order: 0.285, Time: 15.012627 s
         1711309 function calls (1688914 primitive calls) in 22.068 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 1039/913    0.002    0.000    0.002    0.000 transforms.py:167(_invalidate_internal)
      811    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
      511    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
        1    0.002    0.002    0.002    0.002 colorbar.py:195(Colorbar)
      805    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
     2239    0.002    0.000    0.004    0.000 {built-in method _abc._abc_instancecheck}
      225    0.001    0.000    0.015    0.000 transforms.py:809(from_extents)
     2654    0.001    0.000    0.002    0.000 __init__.py:421(_strip_comment)
      107    0.001    0.000    0.006    0.000 _backend_tk.py:286(_event_mpl_coords)
      697    0.001    0.000    0.003    0.000 enum.py:75(__setitem__)
       60    0.001    0.000    0.006    0.000 lines.py:656(recache)
     3827    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      755    0.001    0.000    0.002    0.000 contextlib.py:82(__init__)
  178/134    0.001    0.000    0.006    0.000 transforms.py:2444(get_affine)
      214    0.001    0.000    0.003    0.000 transforms.py:2465(__init__)
      358    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
  542/102    0.001    0.000    0.571    0.006 <frozen importlib._bootstrap>:1017(_handle_fromlist)
2435/2269    0.001    0.000    0.002    0.000 {method 'update' of 'dict' objects}
     8202    0.001    0.000    0.001    0.000 artist.py:851(get_animated)
     4994    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
      252    0.001    0.000    0.021    0.000 markers.py:327(_set_marker)
      974    0.001    0.000    0.006    0.000 colors.py:265(to_rgba)
      512    0.001    0.000    0.001    0.000 __init__.py:1775(<dictcomp>)
     5467    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
     8906    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
     2154    0.001    0.000    0.005    0.000 re.py:188(match)
       24    0.001    0.000    0.009    0.000 ticker.py:2074(_raw_ticks)
      644    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      188    0.001    0.000    0.001    0.000 colors.py:1101(<listcomp>)
     1530    0.001    0.000    0.006    0.000 artist.py:417(pchanged)
      779    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
       54    0.001    0.000    0.020    0.000 text.py:918(get_window_extent)
      344    0.001    0.000    0.002    0.000 inspect.py:534(_findclass)
      284    0.001    0.000    0.006    0.000 overrides.py:88(verify_matching_signatures)
       24    0.001    0.000    0.011    0.000 ticker.py:2138(tick_values)
       12    0.001    0.000    0.001    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
