LebwohlLasher_numba.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.395, Time: 2.870343 s
         2729708 function calls (2654565 primitive calls) in 5.485 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     5434    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
      641    0.001    0.000    0.042    0.000 templates.py:349(apply)
    42/33    0.001    0.000    0.249    0.008 lowering.py:741(lower_binop)
     1530    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:389(parent)
      315    0.001    0.000    0.004    0.000 context.py:287(find_matching_getattr_template)
      504    0.001    0.000    0.003    0.000 copy.py:258(_reconstruct)
     22/3    0.001    0.000    0.006    0.002 core.py:3944(streamline)
       81    0.001    0.000    0.005    0.000 configparser.py:1317(__init__)
      228    0.001    0.000    0.003    0.000 npydecl.py:25(_handle_inputs)
     1050    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
     1091    0.001    0.000    0.002    0.000 typeinfer.py:911(__getitem__)
      597    0.001    0.000    0.005    0.000 types.py:77(__call__)
       27    0.001    0.000    0.002    0.000 analysis.py:190(compute_live_variables)
     1515    0.001    0.000    0.002    0.000 templates.py:1239(register_global)
     8227    0.001    0.000    0.001    0.000 {method 'write' of '_io.StringIO' objects}
     4531    0.001    0.000    0.001    0.000 artist.py:1567(<genexpr>)
     1693    0.001    0.000    0.001    0.000 templates.py:269(__init__)
     1178    0.001    0.000    0.002    0.000 typing.py:762(__setattr__)
        3    0.001    0.000    0.005    0.002 ir_utils.py:2316(fixup_var_define_in_scope)
      100    0.001    0.000    0.407    0.004 artist.py:159(_update_set_signature_and_docstring)
      103    0.001    0.000    0.003    0.000 instructions.py:68(__init__)
     2958    0.001    0.000    0.001    0.000 controlflow.py:117(successors)
      780    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      580    0.001    0.000    0.017    0.000 initialise.py:23(init)
      758    0.001    0.000    0.002    0.000 target_extension.py:52(get_local_target)
     8625    0.001    0.000    0.001    0.000 {method 'values' of 'dict' objects}
      160    0.001    0.000    0.005    0.000 targetconfig.py:199(<dictcomp>)
     7518    0.001    0.000    0.001    0.000 pprint.py:89(__init__)
     5908    0.001    0.000    0.001    0.000 {built-in method time.perf_counter}
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      252    0.001    0.000    0.001    0.000 misc.py:113(__init__)
      154    0.001    0.000    0.004    0.000 lowering.py:404(<listcomp>)
     3139    0.001    0.000    0.002    0.000 sre_parse.py:160(__len__)
      235    0.001    0.000    0.003    0.000 ir.py:579(__repr__)
     6595    0.001    0.000    0.001    0.000 {built-in method builtins.id}
      250    0.001    0.000    0.048    0.000 sre_parse.py:937(parse)
      877    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      574    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     7202    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
     2302    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
     1185    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap>:376(cached)
      280    0.001    0.000    0.026    0.000 context.py:374(resolve_value_type)
      335    0.001    0.000    0.006    0.000 instructions.py:666(__init__)
     5547    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
       49    0.001    0.000    0.002    0.000 enum.py:200(<setcomp>)
     1555    0.001    0.000    0.002    0.000 context.py:469(_insert_global)
        3    0.001    0.000    0.012    0.004 lowering.py:373(_find_singly_assigned_variable)
        1    0.001    0.001    3.965    3.965 LebwohlLasher_numba.py:260(main)
      319    0.001    0.000    0.001    0.000 context.py:250(_get_attribute_templates)
1816/1744    0.001    0.000    0.003    0.000 misc.py:52(unliteral)
      239    0.001    0.000    0.067    0.000 templates.py:1093(_init_once)
      634    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
     3124    0.001    0.000    0.001    0.000 event.py:148(is_end)
     2078    0.001    0.000    0.001    0.000 abstract.py:20(_autoincr)
     5676    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     1922    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.001    0.001    0.002    0.002 selectors.py:1(<module>)
       81    0.001    0.000    0.003    0.000 configparser.py:993(_read)
     1211    0.001    0.000    0.003    0.000 templates.py:1229(register)
     2272    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
     3094    0.001    0.000    0.002    0.000 sre_parse.py:249(match)
      929    0.001    0.000    0.049    0.000 inspect.py:3103(signature)
      344    0.001    0.000    0.004    0.000 inspect.py:544(_finddoc)
      726    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:147(__enter__)
      305    0.001    0.000    0.006    0.000 builder.py:769(store)
      291    0.001    0.000    0.002    0.000 typing.py:120(_type_check)
     2911    0.001    0.000    0.003    0.000 castgraph.py:48(get)
     1922    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:863(__enter__)
     1289    0.001    0.000    0.002    0.000 os.py:748(encode)
      213    0.001    0.000    0.107    0.001 artist.py:1426(__init__)
      688    0.001    0.000    0.001    0.000 controlflow.py:367(_add_edge)
      169    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
1108/1089    0.001    0.000    0.006    0.000 manager.py:29(lookup)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1564(_guarded_repr_or_str)
     1211    0.001    0.000    0.001    0.000 context.py:501(insert_function)
     4519    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      308    0.001    0.000    0.005    0.000 builder.py:756(load)
      574    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
     4062    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      335    0.001    0.000    0.007    0.000 builder.py:967(extract_value)
      429    0.001    0.000    0.019    0.000 artist.py:1540(number_of_parameters)
      513    0.001    0.000    0.002    0.000 templates.py:183(signature)
      273    0.001    0.000    0.002    0.000 interpreter.py:1797(store)
      630    0.001    0.000    0.228    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
      964    0.001    0.000    0.004    0.000 ssa.py:190(_run_ssa_block_pass)
      146    0.001    0.000    0.002    0.000 typeinfer.py:508(fold_arg_vars)
      688    0.001    0.000    0.001    0.000 controlflow.py:382(_dfs)
     1002    0.001    0.000    0.001    0.000 functools.py:64(wraps)
   956/47    0.001    0.000    1.646    0.035 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
  213/133    0.001    0.000    0.064    0.000 functools.py:947(__get__)
