LebwohlLasher_numpy.py: Size: 100, Steps: 100, T*: 0.500: Order: 0.322, Time: 5.667886 s
         2706921 function calls (2684830 primitive calls) in 11.107 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      291    0.001    0.000    0.002    0.000 transforms.py:1851(transform_affine)
      182    0.001    0.000    0.004    0.000 font_manager.py:590(__init__)
     6951    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
      755    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
      226    0.001    0.000    0.002    0.000 shape_base.py:612(column_stack)
      100    0.001    0.000    0.230    0.002 artist.py:159(_update_set_signature_and_docstring)
      101    0.001    0.000    0.003    0.000 numeric.py:77(zeros_like)
      213    0.001    0.000    0.059    0.000 artist.py:1426(__init__)
     5745    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
        2    0.001    0.000    0.006    0.003 _base.py:2937(_update_title_position)
      262    0.001    0.000    0.006    0.000 fromnumeric.py:51(_wrapfunc)
     2514    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      770    0.001    0.000    0.001    0.000 enum.py:417(__setattr__)
       26    0.001    0.000    0.026    0.001 backend_bases.py:1430(__init__)
     2166    0.001    0.000    0.004    0.000 abc.py:96(__instancecheck__)
      170    0.001    0.000    0.002    0.000 colors.py:307(_to_rgba_no_colorcycle)
      208    0.001    0.000    0.024    0.000 sre_parse.py:937(parse)
      244    0.001    0.000    0.001    0.000 core.py:461(__init__)
      432    0.001    0.000    0.002    0.000 markers.py:277(_recache)
       28    0.001    0.000    0.024    0.001 patches.py:158(contains_point)
      357    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
    56/28    0.001    0.000    0.009    0.000 transforms.py:2375(frozen)
     1773    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     1552    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
      660    0.001    0.000    0.003    0.000 artist.py:103(_stale_axes_callback)
     26/4    0.001    0.000    0.021    0.005 __init__.py:2577(destroy)
      344    0.001    0.000    0.003    0.000 inspect.py:544(_finddoc)
      120    0.001    0.000    0.001    0.000 artist.py:1159(update_from)
       26    0.001    0.000    0.038    0.001 _backend_tk.py:293(motion_notify_event)
     5312    0.001    0.000    0.001    0.000 {method 'find' of 'str' objects}
  755/731    0.001    0.000    0.006    0.000 contextlib.py:108(__enter__)
      146    0.001    0.000    0.007    0.000 transforms.py:809(from_extents)
     1043    0.001    0.000    0.001    0.000 typing.py:762(__setattr__)
  226/208    0.001    0.000    0.233    0.001 deprecation.py:443(wrapper)
     2487    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      323    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
     7094    0.001    0.000    0.001    0.000 inspect.py:2551(kind)
      111    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      119    0.001    0.000    0.008    0.000 transforms.py:1475(transform)
      414    0.001    0.000    0.002    0.000 lines.py:1289(set_ydata)
      356    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
   273/11    0.001    0.000    0.003    0.000 core.py:811(_parseNoCache)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      755    0.001    0.000    0.002    0.000 contextlib.py:238(helper)
1688/1048    0.001    0.000    0.003    0.000 {built-in method builtins.hash}
      409    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
